Name,Phone, Gender, Age, Qualification, Address, DeekshaOn, Ans1,Ans2,Ans3,Ans4,Ans5,Ans6,Ans7,Ans8,Ans9,Ans10,Ans11,Ans12,Ans13,Ans14,SpiritualAge
cfg,1234567890,female,55,dfghj,dfgh,11/11/2000,F,D,C,B,C,C,B,B,C,A,C,B,B,23.5
dfgh,1234567890,female,33,fghj,dfghj,01/11/2000,F,D,C,C,C,C,C,C,C,A,B,B,B,21.5
asdfgh,1234567890,,12,ds,vc,22/11/2023,F,C,C,A,B,C,C,A,B,B,C,A,A,15.5
vh,1234567890,,55,sdfghj,dfgh,11/11/2022,D,D,C,D,B,C,C,C,C,B,B,B,A,19.5
fghjk,1234567890,,12,ghjk,dfghj,11/11/2021,D,C,C,C,B,B,A,B,C,B,B,B,B,15.5
ertyuio,1234567890,,12,dfyu,dyu,22/11/1,A,B,B,A,B,B,C,B,B,B,C,B,C,10.0
rty,1234567890,,78,jobless,homeless,09/11/2011,A,A,A,A,A,A,A,A,A,A,A,A,A,10.0
cvgbhjk,1234567890,,12,rtyu,fghj,12/11/23,E,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,B,B,B,B,B,B,B,B,B,33.0
vsvs,1234567890,,55,gsgshs sbsb,vegsh,11/11/2023,B,B,B,C,C,B,A,B,B,B,B,C,B,15.5
sanya,9821637556,,12,dgh,ffhh,22/11/2023,E,C,B,C,A,B,C,C,B,B,B,C,B,13.0
nidhi,9818821357,,40,preacher,rohini,01/08/98,A,B,C,B,C,A,A,C,C,B,B,B,C,17.0
bccf,1234567890,,44,ffdf,gfd,11/12/2009,G,C,B,C,B,C,B,C,C,B,B,B,B,20.0
Anaya,0987766554,,12,ghbj,yhhh,12/11/2005,D,B,C,C,B,B,A,C,C,B,B,B,B,15.5
Sanya Aneja,9821637556,,15,guendn,hhhedh,12/11/2004,D,C,A,A,A,A,B,B,C,A,B,B,B,13.5
hh,1234567890,,88,fgvhb,gvh,11/02/2023,D,C,C,C,C,C,C,C,C,B,B,B,B,17.5
jbhj,1234567890,,77,dfcgh,fghj,11/01/1999,B,B,B,B,B,B,B,B,B,A,C,B,C,A,A,A,A,A,A,A,A,A,B,B,B,B,28.5
